SPECIES_NAME,A,B
Fusigobius sp. [fine spots],0.013,2.882
Cirripectes ?variolosus,0.013075,2.978375
Pseudochromis ?andamanensis,0.0167,2.863
Eviota ?punctulata,0.013,2.882
Scorpaena papillosa [cf],0.0091,3.137
Callionymus goodladi,0.0181,2.835
Parablennius serratolineatus,0.0084,3.241
Eviota readerae,0.0126,2.9925
Pherallodus indicus,0.0088,3.059
Norfolkia squamiceps,0.0177,2.99
Gobiesocid sp. (LHI brown),0.0088,3.059
Enneapterygius howensis[?],0.0064,3.09
Hermosilla azurea,0.0163,3.022
Gibbonsia montereyensis,0.0179,2.72
Paralabrax nebulifer,0.0146,3
Trachurus symmetricus,0.0096,3.05
Sebastes rosaceus,0.0142,3
Rathbunella alleni,0.0179,2.72
Pseudopleuronectes americanus,0.039,2.64
Leucoraja ocellata,0.00217,3.295
Girella simplicidens,0.0163,3.022
Paralabrax maculatofasciatus,0.0325,2.915
Crocodilichthys gracilis,0.00851,2.86
Urobatis concentricus,0.0072,3.083
Stegastes rectifraenum,0.0181,3.076
Anisotremus davidsonii,0.0188,3
Paralabrax auroguttatus,0.0146,3
Chaenopsis alepidota,0.0063,3.217
Malacoctenus hubbsi,0.0179,2.72
Chromis limbaughi,0.0159,3.042
Zapteryx exasperata,0.0031,3
Atherinopsis californiensis,0.01,2.92
Morone saxatilis,0.00945,2.907
Halichoeres trispilus,0.0095,3.131
Haemulid sp. (cf sarpa sarpa),0.0094,3.17
Tautoga onitis,0.0289,2.94
Chaenopsid spp.,0.0063,3.217
Pholis gunnellus [?],0.0043,3.018
Stichaeus punctatus punctatus,0.0179,2.72
Siganus rivulatus,0.022,2.82
Ecsenius gravieri,0.0395,2.319
Paracheilinus octotaenia,0.0134,2.939
Dascyllus marginatus,0.02978,3
Chromis pelloura,0.0278,2.826
Ecsenius frontalis,0.0395,2.319
Amblyeleotris sungami,0.00897,3
Oxycheilinus mentalis,0.02,2.83
Neopomacentrus miryae,0.0259,2.913
Cyclichthys spilostylus,0.254,2.38
Pseudochromis springeri,0.0134,2.939
Cheilodipterus lachneri,0.00967,3
Cheilinus abudjubbe,0.01623,3.059
Diplodus noct,0.01722,3
Pseudanthias taeniatus,0.0155,3.085
Apolemichthys xanthotis,0.03048,3
Ecsenius ?frontalis,0.0395,2.319
Lethrinus borbonicus,0.133,2.36
Corythoichthys sp. [10 RK],2e-4,2.749
Helcogramma sp. [orange scales],0.0064,3.09
Blenniid sp. [green spots],0.0105,3.13
Meiacanthus sp. [yellow tail],0.0105,3.13
Hippocampus bargibanti,0.004,2.949
Apogon doryssa,0.00247,3
Discotrema crinophilum,0.0088,3.059
Petroscirtes variabilis,0.0105,3.13
Epinephelus tukula,0.0126,3.066
Calotomus spinidens,0.00905,3.273
Heteroconger hassi,7e-4,3.218
Pseudamia gelatinosa,0.016256,3.0574
Benthosema fibulatum,0.00639,3.036
Eviota nigriventris,0.0126,2.9925
Bryaninops nexus,0.013,2.882
Amblyeleotris gymnocephala,0.00897,3
Pentapodus porosus,0.0106,3.073
Chlorurus rhakoura,0.0243,2.969
Gymnothorax thyrsoideus,4e-4,3.254
Ostorhinchus wassinki,0.0124,3.284
Mimoblennius atrocinctus,0.0179,2.72
Cymbacephalus bosschei,0.00412,3.205
Sphyraena helleri,0.0044,3.083
Zabidius novemaculeatus,0.0425,2.975
Parapriacanthus dispar,0.0078,3.127
Atherinomorus endrachtensis,0.00987,3.09
Soleichthys heterorhinos,0.0048,3.175
Amblyeleotris periophthalma,0.00897,3
Synodus sageneus,0.0065,2.99
Chaetodontoplus personifer,0.0344,2.968
Apogonichthyoides brevicaudatus,0.0124,3.284
Sillago burrus,0.0051,3.18
Eviota sp. (red),0.0126,2.9925
Tylosurus spp.,0.0023,3
Macropharyngodon spp.,0.0134,2.939
Cirripectes sp. [dark eye],0.0147,3.099
Cryptocentrus sp. (cf caeruleomaculatus),0.013,2.882
Hippocampus kuda,0.004,2.949
Pomacentrid sp. (NWS GJE),0.0365,2.775
Trimma hayashii,0.013,2.882
Atherinomorus spp.,0.0071,3.049
Parascorpaena spp.,0.0155,3.298
Gymnothorax rueppelliae,0.00135,3
Apogonichthyoides timorensis,0.01807,3
Labropsis micronesica,0.0134,2.939
Chrysiptera traceyi,0.022,3.001
Pleurosicya mossambica,0.013,2.882
Pseudocheilinus ocellatus,0.0134,2.939
Gobiodon okinawae,0.0577,2.439
Eviota smaragdus,0.0126,2.9925
Opistognathus randalli,0.00475,3.229
Pseudochromis ammeri,0.0134,2.939
Amblygobius buanensis,0.01838,2.834
Gobiodon ceramensis,0.0577,2.439
Hippocampus pontohi,0.004,2.949
Eviota atriventris,0.0126,2.9925
Sphaeramia nematoptera,0.0102,3.277
Chrysiptera springeri,0.0377,2.702
Chrysiptera bleekeri,0.0377,2.702
Alepes vari,0.0492,2.67
Nectamia similis,0.0121,3.324
Pseudocheilinops ataenia,0.0134,2.939
Eviota lachdeberei,0.0126,2.9925
Scolopsis temporalis,0.0263,2.846
Inimicus didactylus,0.0251,2.829
Salarias patzneri,0.0138,2.98
Sphaeramia orbicularis,0.0102,3.277
Eviota raja,0.0126,2.9925
Eviota rubriceps,0.0126,2.9925
Diagramma melanacrum,0.0077,3.131
Cirrhilabrus flavidorsalis,0.0134,2.939
Neoglyphidodon oxyodon,0.0178,3.182
Pleurosicya micheli,0.013,2.882
Bodianus dictynna,0.01,3.133
Corythoichthys polynotatus,5.6e-4,3
Hemiscyllium freycineti,0.0017,3.145
Toxotes jaculatrix,0.0526,2.818
Pomacentrus opisthostigma,0.0365,2.775
Chrysiptera oxycephala,0.0377,2.702
Gobiodon heterospilos,0.0577,2.439
Meiacanthus crinitus,0.0105,3.13
Synchiropus splendidus,0.01094,3.34145
Cypho zaps,0.0167,2.863
Labropsis manabei,0.0134,2.939
Ecsenius stigmatura,0.0395,2.319
Eviota zebrina,0.0126,2.9925
Paracheilinus cyaneus,0.0134,2.939
Pseudocoris bleekeri,0.0134,2.939
Pholidichthys leucotaenia,0.0082,3.457
Fusigobius melacron,0.013,2.882
Pseudochromis elongatus,0.0134,2.939
Gobiodon prolixus,0.0577,2.439
Ecsenius bathi,0.0395,2.319
Neoglyphidodon crossi,0.0178,3.182
Chlorurus bowersi,0.0319,2.927
Siganus vermiculatus,0.0143,3.164
Dunckerocampus dactyliophorus,2e-4,2.749
Aioliops novaeguineae,0.0167,2.863
Synodus rubromarmoratus,0.0065,2.99
Pomacentrus smithi,0.0365,2.775
Epibulus brevis,0.0161,3.081
Luzonichthys waitei,0.0132,3.031
Halicampus mataafae,2e-4,2.749
Synchiropus bartelsi,0.01094,3.34145
Labracinus ?cyclophthalmus,0.0167,2.863
Eviota ?nigriventris,0.0126,2.9925
Gladiogobius ?brevispinis,0.013,2.882
Pseudomugil spp.,0.016256,3.0574
Paracheilinus spp.,0.0134,2.939
Salarias sp. (alboguttatus),0.0138,2.98
Parapercis sp. (Raja),0.0068,3.157
Eviota sp. [translucent],0.0126,2.9925
Pomacentrus sp. (grey),0.0365,2.775
Gobiid sp. [orangetip],0.013,2.882
Rhabdamia sp. (cypselurus),0.0121,3.324
Pseudochromis cyanotaenia?,0.0134,2.939
Cryptocentrus cryptocentrus,0.013,2.882
Amblyeleotris rubrimarginata,0.00897,3
Ostorhinchus hoevenii,0.0124,3.284
Ostorhinchus parvulus,0.0124,3.284
Zoramia fragilis,0.0124,3.284
Ostorhinchus luteus,0.0124,3.284
Gunnellichthys monostigma,0.0167,2.863
Paragobiodon xanthosoma,0.0577,2.439
Plectranthias nanus,0.0172,2.977
Oxyurichthys papuensis,0.0101,3.057
Pristicon trimaculatus,0.02174,2.97142
Eviota sp. [cf nigriventris],0.0126,2.9925
Eviota sp. [atriventris],0.0126,2.9925
Pomacentrus littoralis,0.0365,2.775
Archamia bleekeri,0.0089,3.323
Gobius auratus,0.011,3.192
Pandaka rouxi,0.013,2.882
Symphodus melops,0.0112,3.17
Liza ramada,0.0214,2.934
Conger conger,2.2e-4,3.509
Serranus tortugarum,0.011,3.104
Decapterus punctatus,0.0119,2.99
Lucayablennius zingaro,0.0088,3.059
Hemiemblemaria simulus,0.0134,2.939
Emblemariopsis signifer,0.0064,3.09
Jenkinsia lamprotaenia,0.0029,3.6081
Amphichthys cryptocentrus,0.00656,3.172
Epinephelus guttatus,0.0106,3.099
Microgobius microlepis,0.0087,3
Pristiapogon exostigma,0.01635,3.06879
Valenciennea parva,0.0054,3.136
Parapercis xanthogramma,0.0068,3.157
Parapercis queenslandica,0.0068,3.157
Trachinotus anak,0.088,2.572
Canthigaster axiologus,0.0729,2.5
Leiuranus versicolor,2e-4,3
Siganus sp.,0.0143,3.164
Chrysiptera caesifrons,0.0377,2.702
Chromis sp. (acares),0.00443,3
Corythoichthys sp. [5 RK],2e-4,2.749
Tripterygiid sp. [Ningaloo],0.0177,2.99
Nectamia spp.,0.0121,3.324
Pastinachus atrus,0.0739,2.81
Lethrinus sp.[Gulf],0.0178,3.057
Hypoatherina barnesi,0.0093,3
Pseudopataecus carnatobarbatus,0.0155,3.298
Pterapogon mirifica,0.0124,3.284
Plectorhinchus caeruleonothus,0.0202,2.943
Acanthogobius flavimanus,0.01103,3
Ammodytes americanus,0.001,3.491
Anchoa mitchilli,0.00436,3.18
Archosargus probatocephalus,0.0438,2.927
Atherina boyeri,0.00558,3.26
Atherinella brasiliensis,0.005,3.013
Atherinops affinis,0.04,2.5
Bairdiella chrysoura,0.0174,3.053
Bathygobius soporator,0.0109,3.08
Blepsias cirrhosus,0.0088,3.0278
Cheilodactylus variegatus,0.0208,2.969
Chelidonichthys kumu,0.00998,2.99
Clupea harengus,0.00255,3.328
Ctenogobius boleosoma,0.00808,2.97
Cyclopterus lumpus,0.0587,2.939
Cynoscion arenarius,0.01741,2.892
Cynoscion nebulosus,0.0131,3
Elops saurus,0.00395,3.1
Engraulis ringens,0.00674,3
Etropus longimanus,0.0103,2.889
Eucinostomus argenteus,0.0106,3.03
Fundulus parvipinnis,0.02,3.08
Gerres oyena,0.00719,3.232
Harengula clupeola,0.00689,3.181
Harengula jaguana,0.0059,3.28
Hemilepidotus hemilepidotus,0.02824,3
Hexagrammos lagocephalus,0.0064,3.2008
Hypsoblennius gentilis,0.0112,2.979
Isacia conceptionis,0.0091,3.095
Konosirus punctatus,0.01311,2.899
Lagodon rhomboides,0.01137,3.11
Lateolabrax japonicus,0.0605,2.635
Leiostomus xanthurus,0.00921,3.072
Lepidogobius lepidus,0.00829,3.1
Limanda aspera,0.01186,2.9969
Limanda limanda,0.0068,3.14
Mallotus villosus,0.001805,3.33
Menidia menidia,0.00602,3.023
Merlangius merlangus,0.00621,3.103
Myoxocephalus polyacanthocephalus,0.0123,3.08
Oligoplites saliens,0.0069,2.9
Opsanus tau,0.007825,3.132
Orthopristis chrysoptera,0.0149,3.189
Paralichthys californicus,0.00814,3.071
Parophrys vetulus,0.01429,2.9036
Platichthys stellatus,0.00359,3.3433
Pleuronectes platessa,0.0103,3.017
Pomatoschistus marmoratus,0.0051,3.308
Prionotus punctatus,0.00971,3.074
Pseudorhombus arsius,0.005260000000000001,3.1475
Pungitius pungitius,0.01102,3
Rhinobatos productus,0.00396,3
Salaria pavo,0.0103,3.023
Sardinella brasiliensis,0.003,3.547
Sardinops sagax,0.004,3.15
Scartichthys viridis,0.0191,2.736
Sciaenops ocellatus,0.00846,3.028
Sebastes pachycephalus,0.0201,3
Sillago maculata,0.00991,3
Sprattus sprattus,0.0079,2.8676
Strongylura marina,0.0011,3.108
Syngnathus leptorhynchus,2e-4,3.12
Syngnathus typhle,2e-4,3.196
Synodus foetens,0.00265,3.252
Synodus myops,4e-4,3.972
Umbrina roncador,0.01,2.981
Zosterisessor ophiocephalus,0.011,2.97
NA,NA,NA
Acropoma japonicum,0.01413,3.04
Ambassis marinus,0.01,3.04
Ambassis sp.,0.01,3.04
Ammodytes hexapterus,0.00339,3.1
Anchoa delicatissima,0.00501,3.15
Apodichthys flavidus,0.00178,3.15
Arrhamphus sclerolepis,0.00257,3.16
Artedius lateralis,0.00692,3.14
Atherinosoma microstoma,0.01,3.04
Chasmodes saburrae,0.00741,3
Chilomycterus schoepfi,0.0236,3.124
Citharichthys sordidus,0.00933,3.08
Clevelandia ios,0.00871,3.05
Cottoidea sp.,0.0158,3.04
Cottus asper,0.00692,3.14
Cottus bairdi,0.00692,3.14
Ctenogobius sagittula,0.015,2.6
Culaea inconstans,0.01047,3.07
Cyprinodon variegatus,0.0233,3.35
Diplodus holbrookii,0.01259,3.04
Ditema temminckii,0.02345,2.657
Echiichthys vipera,0.0115,2.989
Embiotoca sp.,0.0616,2.864
Embiotocidae sp.,0.0182,3.05
Embiotocidae spp.,0.0182,3.05
Enophrys bison,0.00912,3.08
Epinephelus sp.,0.0141,3.04
Ethmidium maculatum,0.00724,3.11
Eucinostomus harengulus,0.01175,3.08
Favonigobius exquisitus,0.01,3.04
Favonigobius hymnauchen,0.01,3.11
Fundulus grandis,0.00603,3.08
Fundulus heteroclitus,0.0138,3.14
Fundulus similis,0.00603,3.08
Gadus chalcogrammus,0.0135,2.82
Gasterosteus wheatlandi,0.01047,3.07
Gobiidae sp.,0.0095,3.05
Gobiosoma bosc,0.00631,3.08
Gobiosoma bosci,0.00631,3.08
Gobiosoma sp.,0.00631,3.08
Gobius geniporus,0.00631,3.08
Gobius sp.,0.0107,3.05
Parajulis poecilopterus,0.00666,3.15
Helotes sexlineatus,0.0138,3.01
Hemiramphus robustus,0.00257,3.16
Hippichthys penicillus,4.9e-4,3.1
Hippocampus procerus,0.00427,3
Hippocampus sp.,0.0026,2.96
Hypsoblennius sordidus,0.0339,2.541
Hypomesus pretiosus,0.00427,3.1
Hyporhamphus regularis,0.00204,3.15
Hyporhamphus rosae,0.01,3.04
Hyporhamphus sajori,0.00101,3.255
Ilypnus gilberti,0.00912,2.95
Lepidopsetta sp.,0.0095,3.07
Liparis sp.,0.00417,3.19
Liza argentea,0.01023,2.97
Liza sp.,0.0115,2.898
Menidia beryllina,0.00513,3.1
Menticirrhus ophicephalus,0.00537,3.09
Micrometrus minimus,0.0195,3.02
Mullus barbatus,0.0085,3.11
Myoxocephalus aenaeus,0.00912,3.08
Nautichthys oculofasciatus,0.00457,3.11
noID bellyfish,NA,NA
Odontesthes sp.,0.0068,3.02
Oligocottus maculosus,0.00692,3.14
Oncorhynchus tshawytscha,0.01333,3
Orthopistis chrysoptera,0.0174,3.12
Paralichthys sp.,0.0059,3.18
Paralichthys albigutta,0.0114,3
Paralichthys microps,0.00708,3.15
Petroscirtis variabilis,0.0055,3.05
Phanerodon furcatus,0.01318,3.05
Philypnodon grandiceps,0.01,3.04
Pholis fangi,0.00178,3.15
Pholis ornata,0.00178,3.15
Pholis sp.,0.00178,3.15
Platycephalidae sp.,0.0038,3.16
Platycephalus aurimaculatus,0.0022,3.31
Pomatoschistus sp.,0.0068,3.17
Porocottus leptosomus,0.00692,3.14
Psettichthys melanostictus,0.00912,3.09
Pseudomugil signifer,0.01122,3.04
Pterogobius elapoides,0.00639,3.172
Repomucenus lunatus,0.00933,2.77
Repomucenus macdonaldi,0.00933,2.77
Rudarius ercodes,0.02922,2.873
scorpaenichthys marmoratus,0.0088,3
sculpin sp.,0.00692,3.14
Sillago sp.,0.0052,3.13
Sparus sp.,0.0141,3
Sphyraena borealis,0.00708,2.91
Strongylura exilis,0.0012,3.11
Syngnathus abaster,4e-4,3.14
Syngnathus floridae,3.8e-4,3.13
Syngnathus leptorhynchus ,2e-4,3.12
Syngnathus sp.,3e-4,3.15
Torquigener sp.,0.0294,2.82
Unknown goby sp.,0.0095,3.05
unknown unknown,NA,NA
Urocampus carinirostris,4.9e-4,3.1
Urophycis regia,0.00661,3.15
Xiphister atropurpureus,0.00389,3.12
Albula vulpes,0.0178,2.92
Caranx latus,0.0186,2.856
Siganus canaliculatus,0.0295,2.86
